Algorithm,ArrayType,Size,Comparisons,Movements,Time(us)
BinarySearchTreeInsert,Random,10000,152244,10000,2910
BinarySearchTreeRemove,Random,10000,142984,15831,2371
BinarySearchTreeSearch,Random,10000,0,0,0
LinearSearch,Sorted,100000,50000,0,108
LinearSearch,Reversed,100000,50001,0,106
LinearSearch,AlmostSorted,100000,50000,0,105
LinearSearch,Random,100000,51078,0,110
LinearSearchInsert,Sorted,100000,0,1,143
LinearSearchRemove,Sorted,100000,0,1,253
LinearSearchInsert,Reversed,100000,0,1,138
LinearSearchRemove,Reversed,100000,0,1,256
LinearSearchInsert,AlmostSorted,100000,0,1,132
LinearSearchRemove,AlmostSorted,100000,0,1,260
LinearSearchInsert,Random,100000,0,1,34
LinearSearchRemove,Random,100000,0,1,257
BinarySearch,Sorted,100000,17,0,303
AVLTreeInsert,Sorted,100000,1568929,199982,2.319e+06
AVLTreeRemove,Sorted,100000,1218236,174988,2.49994e+06
AVLTreeSearch,Sorted,100000,1,0,21
AVLTreeInsert,Reversed,100000,1568929,199982,2.48153e+06
AVLTreeRemove,Reversed,100000,1230735,174990,2.49145e+06
AVLTreeSearch,Reversed,100000,1,0,21
AVLTreeInsert,AlmostSorted,100000,1690767,211852,2.79952e+06
AVLTreeRemove,AlmostSorted,100000,1395173,215580,3.18528e+06
AVLTreeSearch,AlmostSorted,100000,1,0,39
AVLTreeInsert,Random,100000,1474269,107582,3.20519e+06
AVLTreeRemove,Random,100000,1459126,122297,3.24746e+06
AVLTreeSearch,Random,100000,1,0,31
FingerTreeInsert,Sorted,100000,1568929,100000,83723
FingerTreeRemove,Sorted,100000,1218236,137500,69439
FingerTreeSearch,Sorted,100000,1,0,2
FingerTreeInsert,Reversed,100000,1568947,0,64826
FingerTreeRemove,Reversed,100000,1230735,125000,59984
FingerTreeSearch,Reversed,100000,1,0,1
FingerTreeInsert,AlmostSorted,100000,1597217,0,56823
FingerTreeRemove,AlmostSorted,100000,1395173,162970,61493
FingerTreeSearch,AlmostSorted,100000,1,0,2
FingerTreeInsert,Random,100000,1509878,0,68762
FingerTreeRemove,Random,100000,1459126,96914,67865
FingerTreeSearch,Random,100000,1,0,2
